Attribute,Value
Number Critical Scenarios,519
Number Critical Scenarios (duplicate free),172
Number All Scenarios,1000
Number All Scenarios (duplicate free),339
Number Best Critical Scenarios,42
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,127
Number Best Scenarios (duplicate free),31
Ratio Critical/All scenarios,0.52
Ratio Critical/All scenarios (duplicate free),0.51
Ratio Best Critical/Best Scenarios,0.33
Ratio Best Critical/Best Scenarios (duplicate free),0.29
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.997951  0.742909]
Input value of critical (first of population of interest),[-7.043947  4.411313  1.397181]
