Attribute,Value
Number Critical Scenarios,128
Number Critical Scenarios (duplicate free),128
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,10
Number Best Scenarios (duplicate free),10
Ratio Critical/All scenarios,0.13
Ratio Critical/All scenarios (duplicate free),0.13
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.811129  0.      ]
Input value of critical (first of population of interest),[-7.930104  2.985518  3.36278 ]
