Attribute,Value
Number Critical Scenarios,84
Number Critical Scenarios (duplicate free),84
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,16
Number Best Scenarios (duplicate free),16
Ratio Critical/All scenarios,0.08
Ratio Critical/All scenarios (duplicate free),0.08
Ratio Best Critical/Best Scenarios,0.81
Ratio Best Critical/Best Scenarios (duplicate free),0.81
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999648  0.83658476  0.        ]
Input value of critical (first of population of interest),[-7.57623315  3.60447236  5.4095252 ]
