Attribute,Value
Number Critical Scenarios,781
Number Critical Scenarios (duplicate free),236
Number All Scenarios,1000
Number All Scenarios (duplicate free),345
Number Best Critical Scenarios,269
Number Best Critical Scenarios (duplicate free),52
Number Best Scenarios,330
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.78
Ratio Critical/All scenarios (duplicate free),0.68
Ratio Best Critical/Best Scenarios,0.82
Ratio Best Critical/Best Scenarios (duplicate free),0.88
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999377  0.838221]
Input value of critical (first of population of interest),[-6.392443 -0.602911  2.540056]
