Attribute,Value
Number Critical Scenarios,917
Number Critical Scenarios (duplicate free),269
Number All Scenarios,1000
Number All Scenarios (duplicate free),332
Number Best Critical Scenarios,339
Number Best Critical Scenarios (duplicate free),50
Number Best Scenarios,339
Number Best Scenarios (duplicate free),50
Ratio Critical/All scenarios,0.92
Ratio Critical/All scenarios (duplicate free),0.81
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-1.        0.820317]
Input value of critical (first of population of interest),[6.297207 1.122767 9.026182]
