Attribute,Value
Number Critical Scenarios,649
Number Critical Scenarios (duplicate free),151
Number All Scenarios,1000
Number All Scenarios (duplicate free),275
Number Best Critical Scenarios,245
Number Best Critical Scenarios (duplicate free),35
Number Best Scenarios,341
Number Best Scenarios (duplicate free),50
Ratio Critical/All scenarios,0.65
Ratio Critical/All scenarios (duplicate free),0.55
Ratio Best Critical/Best Scenarios,0.72
Ratio Best Critical/Best Scenarios (duplicate free),0.70
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99722   0.785834]
Input value of critical (first of population of interest),[-5.287601 -0.332358  0.832271]
