Attribute,Value
Number Critical Scenarios,245
Number Critical Scenarios (duplicate free),71
Number All Scenarios,1000
Number All Scenarios (duplicate free),275
Number Best Critical Scenarios,129
Number Best Critical Scenarios (duplicate free),24
Number Best Scenarios,501
Number Best Scenarios (duplicate free),74
Ratio Critical/All scenarios,0.24
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.26
Ratio Best Critical/Best Scenarios (duplicate free),0.32
Iteration first critical found,7
Fitness value of critical (first of population of interest),[-0.988986  0.833961 -4.007419]
Input value of critical (first of population of interest),[-3.523787  7.787149  5.66101 ]
