n_evals,hv_all
40,0.0
80,0.11281149353442094
120,0.19380691240652445
160,0.4054614436976301
200,0.47383694787965236
240,0.48625605617230605
280,0.48858229967617395
320,0.4885967409361751
360,0.49486297171296234
400,0.5045627436840998
440,0.5642907409608995
480,0.5737594458681469
520,0.5737824704424819
560,0.5743590424192448
600,0.5816377867960435
640,0.581639718096666
680,0.5829290790478961
720,0.584193738737411
760,0.5843302727950328
800,0.5977095296724173
840,0.5998613245048784
880,0.622404471491177
920,0.6225167565744398
960,0.6225167565744398
1000,0.6225167565744398
1040,0.6225167565744398
1080,0.622570672324309
1120,0.6225739028707152
1160,0.6411488653028216
1200,0.6411490093254367
1240,0.6411837379274311
1280,0.6411837396222463
1320,0.6411837903709829
1360,0.6471989837467104
1400,0.6471989837467104
1440,0.6474609102971522
1480,0.6474609132295558
1520,0.6474609132295558
1560,0.6474613002703121
1600,0.6474613002703121
1640,0.6476730595011936
1680,0.6484692496367419
1720,0.6484692496367419
1760,0.6484692496367419
1800,0.648530415586789
1840,0.648530415586789
1880,0.6485560111437054
1920,0.648844058522142
1960,0.6489723538105264
2000,0.6489728648204255
