Attribute,Value
Number Critical Scenarios,939
Number Critical Scenarios (duplicate free),296
Number All Scenarios,1000
Number All Scenarios (duplicate free),347
Number Best Critical Scenarios,245
Number Best Critical Scenarios (duplicate free),53
Number Best Scenarios,245
Number Best Scenarios (duplicate free),53
Ratio Critical/All scenarios,0.94
Ratio Critical/All scenarios (duplicate free),0.85
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.781595]
Input value of critical (first of population of interest),[ 7.061067 -5.10975   1.81053 ]
