Attribute,Value
Number Critical Scenarios,805
Number Critical Scenarios (duplicate free),183
Number All Scenarios,1000
Number All Scenarios (duplicate free),267
Number Best Critical Scenarios,18
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.81
Ratio Critical/All scenarios (duplicate free),0.69
Ratio Best Critical/Best Scenarios,0.90
Ratio Best Critical/Best Scenarios (duplicate free),0.90
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99552411  0.74624984]
Input value of critical (first of population of interest),[-6.72350111 -7.3599077   9.19627298]
