Attribute,Value
Number Critical Scenarios,361
Number Critical Scenarios (duplicate free),102
Number All Scenarios,1000
Number All Scenarios (duplicate free),297
Number Best Critical Scenarios,154
Number Best Critical Scenarios (duplicate free),27
Number Best Scenarios,368
Number Best Scenarios (duplicate free),58
Ratio Critical/All scenarios,0.36
Ratio Critical/All scenarios (duplicate free),0.34
Ratio Best Critical/Best Scenarios,0.42
Ratio Best Critical/Best Scenarios (duplicate free),0.47
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.997306  0.828638]
Input value of critical (first of population of interest),[-5.895559  5.907766  3.783273]
