Attribute,Value
Number Critical Scenarios,486
Number Critical Scenarios (duplicate free),150
Number All Scenarios,1000
Number All Scenarios (duplicate free),302
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.49
Ratio Critical/All scenarios (duplicate free),0.50
Ratio Best Critical/Best Scenarios,0.50
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.93743092  0.81129583]
Input value of critical (first of population of interest),[-7.90576344  2.58749232  2.55007207]
