Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
108,0.612088,1.558151,2.368021,-0.857826,-2.930139
109,0.730773,0.858405,0.015570,-0.815196,-2.962220
110,0.667917,0.836940,0.362892,-0.984380,-2.926840
111,0.668293,0.834556,0.360722,-0.986307,-2.843060
112,0.667738,0.834556,0.362892,-0.995241,-2.926841
113,0.667738,0.834556,0.363700,-0.995241,-2.926841
114,0.667998,0.857572,0.488754,-0.972243,-2.926898
115,0.667738,0.834556,0.360722,-0.995241,-2.926841
116,0.667738,0.834556,0.364519,-0.995241,-2.926841
117,0.667738,0.834556,0.363012,-0.995241,-2.926841
118,0.668172,0.836940,0.370690,-0.955452,-2.926906
119,0.667998,0.857572,0.488770,-0.972243,-2.926898
120,0.729850,0.858511,0.076256,-0.914552,-2.962233
121,0.667738,0.859634,0.490203,-0.987233,-2.926841
122,0.730433,0.970792,0.797178,-0.871659,-2.951664
123,0.692819,0.831480,0.053024,-0.885284,-2.944558
124,0.730781,0.857643,0.011302,-0.826354,-2.962221
125,0.730773,0.856048,0.011302,-0.847291,-2.962220
126,0.668293,0.834556,0.360722,-0.986307,-2.843060
127,0.612088,1.558151,2.368021,-0.857826,-2.930139
128,0.667917,0.836940,0.362892,-0.984380,-2.926840
129,0.667738,0.834556,0.362892,-0.995241,-2.926841
130,0.667738,0.834556,0.363700,-0.995241,-2.926841
131,0.667738,0.834556,0.360722,-0.995241,-2.926841
132,0.667738,0.834556,0.364519,-0.995241,-2.926841
133,0.667738,0.834556,0.363012,-0.995241,-2.926841
134,0.729850,0.858511,0.076256,-0.914552,-2.962233
135,0.846212,0.915826,0.011302,-0.980289,-2.953436
136,0.667738,0.859634,0.490203,-0.987233,-2.926841
137,0.668445,0.834556,0.373598,-0.987492,-2.843102
138,0.730781,0.857643,0.011302,-0.826354,-2.962221
139,0.730773,0.856048,0.011302,-0.847291,-2.962220
140,0.729850,0.857382,0.002869,-0.805976,-2.962233
141,0.667998,0.857572,0.488754,-0.972243,-2.926898
142,0.668172,0.836940,0.370690,-0.955452,-2.926906
143,0.667998,0.857572,0.488770,-0.972243,-2.926898
144,0.730433,0.970792,0.797178,-0.871659,-2.951664
145,0.692819,0.831480,0.053024,-0.885284,-2.944558
146,0.668293,0.834556,0.360722,-0.986307,-2.843060
147,0.612088,1.558151,2.368021,-0.857826,-2.930139
148,0.667738,0.834556,0.362892,-0.995241,-2.926841
149,0.667738,0.834556,0.363700,-0.995241,-2.926841
150,0.667738,0.834556,0.360722,-0.995241,-2.926841
151,0.667738,0.834556,0.364519,-0.995241,-2.926841
152,0.667738,0.834556,0.363012,-0.995241,-2.926841
153,0.729850,0.858511,0.076256,-0.914552,-2.962233
154,0.846212,0.915826,0.011302,-0.980289,-2.953436
155,0.667738,0.859634,0.490203,-0.987233,-2.926841
156,0.668445,0.834556,0.373598,-0.987492,-2.843102
157,0.729850,0.853298,0.002869,-0.864278,-2.962233
158,0.667998,0.857572,0.488754,-0.972243,-2.926898
159,0.668172,0.836940,0.370690,-0.955452,-2.926906
160,0.667998,0.857572,0.488770,-0.972243,-2.926898
161,0.730433,0.970792,0.797178,-0.871659,-2.951664
162,0.692819,0.831480,0.053024,-0.885284,-2.944558
163,0.668694,0.836940,0.367635,-0.953657,-2.928103
164,0.668293,0.834556,0.360722,-0.986307,-2.843060
165,0.730781,0.857643,0.011302,-0.826354,-2.962221
166,0.730773,0.856048,0.011302,-0.847291,-2.962220
167,0.729850,0.857382,0.002869,-0.805976,-2.962233
168,0.612088,1.558151,2.368021,-0.857826,-2.930139
169,0.667738,0.834556,0.362892,-0.995241,-2.926841
170,0.667738,0.834556,0.363700,-0.995241,-2.926841
171,0.667738,0.834556,0.360722,-0.995241,-2.926841
172,0.667738,0.834556,0.364519,-0.995241,-2.926841
173,0.667738,0.834556,0.363012,-0.995241,-2.926841
174,0.729850,0.858511,0.076256,-0.914552,-2.962233
175,0.846212,0.915826,0.011302,-0.980289,-2.953436
176,0.667738,0.859634,0.490203,-0.987233,-2.926841
177,0.668445,0.834556,0.373598,-0.987492,-2.843102
178,0.668332,0.831612,0.360722,-0.987682,-2.843090
179,0.729850,0.853298,0.002869,-0.864278,-2.962233
180,0.667998,0.857572,0.488754,-0.972243,-2.926898
181,0.668172,0.836940,0.370690,-0.955452,-2.926906
182,0.667998,0.857572,0.488770,-0.972243,-2.926898
183,0.730433,0.970792,0.797178,-0.871659,-2.951664
184,0.692819,0.831480,0.053024,-0.885284,-2.944558
185,0.668694,0.836940,0.367635,-0.953657,-2.928103
186,0.675838,0.799615,0.076256,-0.952671,-2.934286
187,0.729850,0.857382,0.002869,-0.805976,-2.962233
188,0.668293,0.834556,0.360722,-0.986307,-2.843060
189,0.729850,0.858511,0.076256,-0.914552,-2.962233
190,0.846212,0.915826,0.011302,-0.980289,-2.953436
191,0.667730,0.834556,0.363147,-0.998777,-2.926841
192,0.729850,0.853298,0.002869,-0.864278,-2.962233
193,0.667998,0.857572,0.488754,-0.972243,-2.926898
194,0.668172,0.836940,0.370690,-0.955452,-2.926906
195,0.667998,0.857572,0.488770,-0.972243,-2.926898
196,0.730433,0.970792,0.797178,-0.871659,-2.951664
197,0.692819,0.831480,0.053024,-0.885284,-2.944558
198,0.675838,0.799615,0.076256,-0.952671,-2.934286
199,0.668694,0.836940,0.340159,-0.953728,-2.928103
200,0.667722,0.834556,0.363012,-0.998477,-2.926841
201,0.729850,0.857382,0.002869,-0.805976,-2.962233
202,0.667738,0.834556,0.362892,-0.995241,-2.926841
203,0.668694,0.836940,0.367635,-0.953657,-2.928103
204,0.692470,0.831480,0.053024,-0.879156,-2.944488
205,0.702740,0.856018,0.177302,-0.852670,-2.948441
206,0.667738,0.834556,0.360722,-0.995241,-2.926841
207,0.729850,0.858511,0.076256,-0.914552,-2.962233
208,0.846212,0.915826,0.011302,-0.980289,-2.953436
209,0.667730,0.834556,0.363147,-0.998777,-2.926841
210,0.729850,0.853298,0.002869,-0.864278,-2.962233
211,0.729377,0.858258,0.053024,-0.880967,-2.962187
212,0.846094,0.915826,0.011302,-0.980207,-2.953436
213,0.667722,0.834556,0.363012,-0.998477,-2.926841
214,0.667722,0.834556,0.362892,-0.998477,-2.926841
215,0.729850,0.853386,0.002869,-0.863111,-2.962233
216,0.667738,0.834556,0.362892,-0.995241,-2.926841
217,0.692819,0.831480,0.053024,-0.885284,-2.944558
218,0.675838,0.799615,0.076256,-0.952671,-2.934286
219,0.667998,0.857572,0.488754,-0.972243,-2.926898
220,0.730433,0.970792,0.797178,-0.871659,-2.951664
221,0.668172,0.836940,0.370690,-0.955452,-2.926906
222,0.846212,0.915826,0.011302,-0.980289,-2.953436
223,0.667730,0.834556,0.363147,-0.998777,-2.926841
224,0.729837,0.846081,0.001915,-0.945386,-2.962233
225,0.731422,0.853386,0.002869,-0.876612,-2.962303
226,0.846094,0.915826,0.011302,-0.980207,-2.953436
227,0.667722,0.834556,0.363012,-0.998477,-2.926841
228,0.667722,0.834556,0.362892,-0.998477,-2.926841
229,0.729850,0.858511,0.076256,-0.914552,-2.962233
230,0.729850,0.853298,0.002869,-0.864278,-2.962233
231,0.667738,0.834556,0.362892,-0.995241,-2.926841
232,0.692819,0.831480,0.072977,-0.914335,-2.944558
233,0.675838,0.799615,0.076256,-0.952671,-2.934286
234,0.667998,0.857572,0.488754,-0.972243,-2.926898
235,0.730433,0.970792,0.807783,-0.889070,-2.951664
236,0.846212,0.915826,0.011302,-0.980289,-2.953436
237,0.667730,0.834556,0.363147,-0.998777,-2.926841
238,0.729864,0.845121,0.001915,-0.953627,-2.962233
239,0.731422,0.853386,0.011206,-0.892802,-2.962303
240,0.846094,0.915826,0.011302,-0.980207,-2.953436
241,0.667722,0.834556,0.363012,-0.998477,-2.926841
242,0.667722,0.834556,0.362892,-0.998477,-2.926841
243,0.729837,0.846081,0.001915,-0.945386,-2.962233
244,0.731422,0.853386,0.002869,-0.876612,-2.962303
245,0.675838,0.799615,0.076256,-0.952671,-2.934286
246,0.667998,0.857572,0.488754,-0.972243,-2.926898
247,0.667738,0.834556,0.349464,-0.996874,-2.926841
248,0.729850,0.858511,0.076256,-0.914552,-2.962233
249,0.846212,0.915826,0.011302,-0.980289,-2.953436
250,0.667730,0.834556,0.363147,-0.998777,-2.926841
251,0.846094,0.918532,0.011302,-0.960927,-2.964803
252,0.846094,0.915826,0.011302,-0.980207,-2.953436
253,0.667722,0.834556,0.363012,-0.998477,-2.926841
254,0.667722,0.834556,0.362892,-0.998477,-2.926841
255,0.729864,0.845121,0.001915,-0.953627,-2.962233
256,0.731422,0.853386,0.011206,-0.892802,-2.962303
257,0.667998,0.857572,0.488754,-0.972243,-2.926898
258,0.667722,0.834352,0.363012,-0.998341,-2.926841
259,0.729837,0.846081,0.001915,-0.945386,-2.962233
260,0.675838,0.799615,0.076256,-0.952671,-2.934286
261,0.731422,0.853386,0.002869,-0.876612,-2.962303
262,0.846212,0.915826,0.011302,-0.980289,-2.953436
263,0.846094,0.918532,0.011302,-0.960927,-2.964803
264,0.667730,0.834556,0.358003,-0.999647,-2.926841
265,0.846094,0.915826,0.011302,-0.980207,-2.953436
266,0.731422,0.853386,0.011206,-0.892802,-2.962303
267,0.729865,0.846081,0.011250,-0.956498,-2.962233
268,0.667730,0.834556,0.363147,-0.998777,-2.926841
269,0.667998,0.857572,0.488754,-0.972243,-2.926898
270,0.731422,0.853386,0.002869,-0.876612,-2.962303
271,0.731422,0.853386,0.003419,-0.876612,-2.962303
272,0.729864,0.845121,0.001915,-0.953627,-2.962233
273,0.667722,0.834556,0.363012,-0.998477,-2.926841
274,0.667722,0.834556,0.362892,-0.998477,-2.926841
275,0.846212,0.915826,0.011302,-0.980289,-2.953436
276,0.846094,0.918532,0.011302,-0.960927,-2.964803
277,0.667730,0.834556,0.358003,-0.999647,-2.926841
278,0.846094,0.915826,0.011302,-0.980207,-2.953436
279,0.731422,0.853386,0.011206,-0.892802,-2.962303
280,0.729865,0.846081,0.011250,-0.956498,-2.962233
281,0.730183,0.845121,0.001915,-0.930336,-2.962289
282,0.667730,0.834556,0.363147,-0.998777,-2.926841
283,0.731422,0.853386,0.002869,-0.876612,-2.962303
284,0.667722,0.834556,0.363012,-0.998477,-2.926841
285,0.729864,0.845121,0.001915,-0.953627,-2.962233
286,0.667998,0.857572,0.488754,-0.972243,-2.926898
287,0.667722,0.834556,0.362892,-0.998477,-2.926841
288,0.846212,0.915826,0.011302,-0.980289,-2.953436
289,0.667730,0.834556,0.358003,-0.999647,-2.926841
290,0.667730,0.834556,0.355045,-0.999647,-2.926841
291,0.846094,0.918532,0.004396,-0.965102,-3.067276
292,0.846094,0.915826,0.011302,-0.980207,-2.953436
293,0.667730,0.834556,0.363147,-0.998777,-2.926841
294,0.846094,0.918532,0.011302,-0.960927,-2.964803
