Attribute,Value
Number Critical Scenarios,241
Number Critical Scenarios (duplicate free),241
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,9
Number Best Scenarios (duplicate free),9
Ratio Critical/All scenarios,0.24
Ratio Critical/All scenarios (duplicate free),0.24
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.          0.79922431  0.        ]
Input value of critical (first of population of interest),[ 4.55547114 -6.55016865  2.35976213]
