Attribute,Value
Number Critical Scenarios,973
Number Critical Scenarios (duplicate free),269
Number All Scenarios,1000
Number All Scenarios (duplicate free),292
Number Best Critical Scenarios,404
Number Best Critical Scenarios (duplicate free),61
Number Best Scenarios,404
Number Best Scenarios (duplicate free),61
Ratio Critical/All scenarios,0.97
Ratio Critical/All scenarios (duplicate free),0.92
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.841297]
Input value of critical (first of population of interest),[-3.552445 -7.864549  3.924553]
