Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input
0,-7.152182,-6.666633,9.965293,-0.999744,0.748910,0.000000
1,-7.611074,5.300473,0.966791,-0.990000,0.748349,0.000000
2,-7.267830,-2.803653,11.267627,-0.989567,0.734374,0.000000
3,7.218699,-7.301028,19.131391,-0.993215,0.725393,0.000000
4,1.080442,4.669039,10.997030,-0.956302,0.751289,0.000000
5,1.163631,-6.215868,20.081950,-0.963223,0.796576,0.000000
6,-3.459649,-7.246209,10.346609,-0.998957,0.732671,0.000000
7,-0.139831,-7.946800,2.070865,-0.983713,0.813505,0.000000
8,-0.559468,-4.811115,4.492618,-0.982042,0.812258,0.000000
9,-1.048560,5.936104,8.236546,-0.999999,0.846013,0.000000
10,-7.112289,6.544652,5.233481,-0.998957,0.813746,0.000000
11,0.761265,-6.541150,2.079766,-0.999973,0.798771,0.000000
12,7.666166,0.727115,8.572870,-1.000000,0.854126,0.000000
13,7.464376,-1.232926,9.078052,-1.000000,0.854059,0.000000
14,1.314079,-5.561519,1.534933,-0.999999,0.780882,0.000000
15,2.776583,-5.704212,8.812469,-0.992067,0.813514,0.000000
16,6.192030,-7.527340,3.615605,-0.999869,0.825785,0.000000
17,2.830803,6.390822,19.634989,-0.973685,0.755578,0.000000
18,7.028483,-5.618507,19.105246,-0.996546,0.730634,0.000000
19,7.891464,-7.284526,2.488238,-1.000000,0.803551,0.000000
20,0.424873,-5.922965,18.667311,-0.982698,0.697875,0.000000
21,-5.790357,4.826949,20.670172,-0.999005,0.817404,0.000000
22,-2.550163,7.672245,8.374832,-1.000000,0.864784,0.000000
23,-3.818272,3.756837,4.977700,-0.955310,0.795710,0.000000
24,7.961246,2.320318,20.639187,-0.993860,0.772380,0.000000
25,-7.442023,6.642612,19.654599,-0.999996,0.789607,0.000000
26,2.012554,6.296945,10.712324,-0.992237,0.756920,0.000000
27,3.280922,-2.879801,1.882497,-0.999570,0.773686,0.000000
28,-0.496404,-5.476621,18.555920,-0.981036,0.715580,0.000000
29,-2.497684,-5.918533,19.292415,-0.986795,0.726542,0.000000
30,4.693143,-5.559486,19.757665,-0.997636,0.805580,0.000000
31,2.149664,-7.588727,0.009015,-0.966079,0.747318,0.000000
32,-6.144224,-5.726600,10.136469,-0.999996,0.748699,0.000000
33,7.849466,-4.907128,11.485462,-0.999978,0.824349,0.000000
34,7.343797,-4.228199,9.061882,-0.999909,0.868685,0.000000
35,-5.440883,-3.917475,10.570829,-0.999932,0.747591,0.000000
36,-7.776720,0.635297,3.395396,-0.999422,0.802482,0.000000
37,6.504975,-6.808818,20.393817,-0.999151,0.817308,0.000000
38,3.237312,-7.232619,18.655243,-0.988497,0.697006,0.000000
39,2.961093,-6.717004,20.079327,-0.999170,0.814943,0.000000
40,-5.129003,-0.195353,17.592428,-0.969528,0.713672,0.000000
41,7.221854,-7.920922,20.481292,-0.996508,0.827010,0.000000
42,6.140823,-5.954077,9.041424,-0.999242,0.862201,0.000000
43,-1.561549,-6.787801,19.485829,-0.996862,0.717272,0.000000
44,-3.467540,-6.031038,9.845788,-0.999944,0.733801,0.000000
45,-4.210513,-1.956168,9.772643,-0.999297,0.776471,0.000000
46,-6.959174,7.589891,20.557408,-0.978776,0.816510,0.000000
47,-5.559354,7.642153,1.202342,-0.960093,0.727160,0.000000
48,-7.325942,-3.188211,17.789580,-0.993817,0.746605,0.000000
49,4.611387,2.162137,10.805246,-0.991877,0.789504,0.000000
50,-7.211290,2.073664,5.402461,-1.000000,0.823147,0.000000
51,7.056773,-2.259514,18.654493,-0.993591,0.746954,0.000000
52,6.318133,2.097885,11.364880,-1.000000,0.805464,0.000000
53,-0.195756,7.474489,8.018931,-1.000000,0.852921,0.000000
54,-5.406523,4.000961,7.658506,-0.999860,0.835922,0.000000
55,-5.777217,7.916798,19.861376,-0.999996,0.799504,0.000000
56,-3.234701,-5.684116,10.282510,-0.999858,0.744440,0.000000
57,-5.497679,3.928091,8.191944,-0.999914,0.834176,0.000000
58,-5.658058,2.430182,2.649268,-1.000000,0.792590,0.000000
59,4.840054,-6.139151,19.876644,-0.999527,0.807538,0.000000
60,-6.660069,5.940664,21.054635,-0.999714,0.811315,0.000000
61,-6.726865,0.779143,5.250345,-1.000000,0.826404,0.000000
62,4.737384,-4.840011,10.664192,-0.999847,0.810704,0.000000
63,1.404961,3.567005,19.659427,-0.967076,0.760224,0.000000
64,-3.685999,1.748219,2.979668,-0.998600,0.781322,0.000000
65,-3.410749,-6.548812,10.436651,-0.999849,0.745792,0.000000
66,3.961739,-7.300832,9.185445,-1.000000,0.833993,0.000000
67,-3.656851,-2.434404,9.610029,-0.995898,0.771648,0.000000
68,6.330942,6.802437,11.355540,-0.975030,0.764583,0.000000
69,1.302260,-7.248796,19.378725,-0.961738,0.684910,0.000000
70,-7.236205,3.857407,18.249163,-0.996232,0.698800,0.000000
71,2.249674,-2.688071,2.076211,-0.996214,0.777311,0.000000
72,-7.633321,6.408802,7.054578,-0.975297,0.761457,0.000000
73,4.426389,-6.576252,10.195534,-0.999456,0.741786,0.000000
74,1.702501,-6.702963,3.792868,-0.999999,0.822815,0.000000
75,-7.332024,2.417319,2.535418,-0.999999,0.818143,0.000000
76,-7.614050,2.569420,5.858813,-0.999293,0.818336,0.000000
77,7.790658,-7.909743,20.318934,-0.993270,0.822036,0.000000
78,5.787700,-2.073581,9.362464,-0.999999,0.846861,0.000000
79,-4.634959,-0.096372,3.280033,-0.981452,0.779564,0.000000
80,0.522481,7.268411,7.766823,-1.000000,0.851841,0.000000
81,6.353674,-5.199163,2.039573,-1.000000,0.783184,0.000000
82,5.437733,-0.937540,11.397301,-0.999975,0.806557,0.000000
83,-6.551744,2.439377,4.577188,-0.999998,0.824700,0.000000
84,5.129478,-3.324998,9.074527,-0.999878,0.842510,0.000000
85,5.831302,0.196184,9.274735,-0.999981,0.837990,0.000000
86,-6.437533,-0.783956,18.470393,-0.992467,0.712011,0.000000
87,-7.799016,6.237984,20.433777,-0.999987,0.773048,0.000000
88,-1.720329,7.345994,7.882944,-1.000000,0.854219,0.000000
89,3.169286,-6.459502,20.338593,-0.999272,0.812925,0.000000
90,7.844629,-6.330610,1.716027,-1.000000,0.789594,0.000000
91,-4.383868,-7.286956,3.936035,-0.999996,0.840744,0.000000
92,0.110976,7.189794,9.730505,-0.999941,0.818511,0.000000
93,-5.350603,6.723846,8.292502,-0.998166,0.870569,0.000000
94,-7.530253,0.311526,17.565148,-0.988611,0.699673,0.000000
95,7.943215,-7.882047,3.618861,-0.999733,0.822155,0.000000
96,-4.643192,7.291016,8.349122,-0.999570,0.861751,0.000000
97,-4.281968,1.652820,3.032136,-0.999803,0.782665,0.000000
98,-4.211580,2.801972,5.050740,-0.982993,0.808279,0.000000
99,1.437166,5.439729,10.872870,-0.971968,0.757658,0.000000
100,-7.592006,3.725999,2.611712,-1.000000,0.813693,0.000000
101,-6.844555,0.023104,2.645986,-0.999033,0.799518,0.000000
102,5.244039,-3.304629,11.132052,-0.999944,0.812409,0.000000
103,-6.805379,6.205194,9.907000,-0.999993,0.804450,0.000000
104,-3.340454,-6.977712,10.548451,-0.993594,0.773109,0.000000
105,2.234411,5.690410,10.188321,-1.000000,0.794251,0.000000
106,-7.454430,5.700703,7.777766,-0.999964,0.850647,0.000000
107,-5.670502,3.991425,4.544616,-0.999927,0.810960,0.000000
108,-5.125050,3.405070,21.112056,-0.987097,0.809468,0.000000
109,-6.849713,5.194341,22.999215,-0.963190,0.685928,0.000000
