Attribute,Value
Number Critical Scenarios,495
Number Critical Scenarios (duplicate free),112
Number All Scenarios,1000
Number All Scenarios (duplicate free),250
Number Best Critical Scenarios,261
Number Best Critical Scenarios (duplicate free),40
Number Best Scenarios,488
Number Best Scenarios (duplicate free),67
Ratio Critical/All scenarios,0.49
Ratio Critical/All scenarios (duplicate free),0.45
Ratio Best Critical/Best Scenarios,0.53
Ratio Best Critical/Best Scenarios (duplicate free),0.60
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999903  0.795058  0.      ]
Input value of critical (first of population of interest),[ 1.945841 -5.428794  1.910158]
