Attribute,Value
Number Critical Scenarios,1130
Number Critical Scenarios (duplicate free),174
Number All Scenarios,2000
Number All Scenarios (duplicate free),408
Number Best Critical Scenarios,120
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,176
Number Best Scenarios (duplicate free),28
Ratio Critical/All scenarios,0.56
Ratio Critical/All scenarios (duplicate free),0.43
Ratio Best Critical/Best Scenarios,0.68
Ratio Best Critical/Best Scenarios (duplicate free),0.71
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.90129  -2.104183]
Input value of critical (first of population of interest),[0.775547 1.626788 1.817563]
