Attribute,Value
Number Critical Scenarios,846
Number Critical Scenarios (duplicate free),242
Number All Scenarios,1000
Number All Scenarios (duplicate free),323
Number Best Critical Scenarios,247
Number Best Critical Scenarios (duplicate free),38
Number Best Scenarios,284
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.85
Ratio Critical/All scenarios (duplicate free),0.75
Ratio Best Critical/Best Scenarios,0.87
Ratio Best Critical/Best Scenarios (duplicate free),0.86
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999848  0.771678]
Input value of critical (first of population of interest),[ 5.343533 -4.263489 14.954426]
