run,RS,NSGA-II-D,NSGA-II
1,0.12713914235950757,0.17932085732726794,0.2072750091901043
2,0.13762310383287377,0.17895975675843187,0.38910152654968194
3,0.13255099159232187,0.2225292661639274,0.44446364966466234
4,0.16239637637382773,0.18310462488908977,0.24412179528289996
5,0.14197791899012588,0.25576774571233796,0.38277887398446914
6,0.13625630527579066,0.2894996504468453,0.2330355885304588
7,0.13434135405832054,0.38053870612371654,0.22152372391484323
8,0.1392674096424993,0.2197762253047621,0.38644524164024735
9,0.12413767947384026,0.27391396835180454,0.3564203626905977
10,0.1295999276762898,0.19501364515266195,0.23448320975706557
