n_evals,hv_all
40,0.26052143097173514
80,0.26052143097173514
120,0.26052143097173514
160,0.35668507115872755
200,0.39954737215715525
240,0.41400125312455405
280,0.49058941580764526
320,0.4979946755928615
360,0.5275696972818512
400,0.5482607582000623
440,0.5611906033841345
480,0.5638124764855352
520,0.6164136614171508
560,0.6218643885376962
600,0.6281478584762612
640,0.6369419497796026
680,0.6370120813323171
720,0.6521964387294343
760,0.6525951003391686
800,0.6612144726900278
840,0.6694287521122297
880,0.669429123452059
920,0.669429123452059
960,0.6697387376136906
1000,0.672094311166051
1040,0.6759703458848786
1080,0.6776289539592666
1120,0.6778486921450217
1160,0.6812230350515421
1200,0.6923525253838593
1240,0.6923525253838593
1280,0.7106158157916941
1320,0.7112224237406439
1360,0.711406047752981
1400,0.7124874942710053
1440,0.7176172544787746
1480,0.7198860780451555
1520,0.7198860780451555
1560,0.7198860780451555
1600,0.7234375069980331
1640,0.7234375069980331
1680,0.7234697928070563
1720,0.7278527891720229
1760,0.72794430534587
1800,0.72794430534587
1840,0.72794430534587
1880,0.7282066033949827
1920,0.7350961118200708
1960,0.7561051785817481
2000,0.7561181017579408
