Attribute,Value
Number Critical Scenarios,491
Number Critical Scenarios (duplicate free),91
Number All Scenarios,1000
Number All Scenarios (duplicate free),222
Number Best Critical Scenarios,261
Number Best Critical Scenarios (duplicate free),29
Number Best Scenarios,559
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.49
Ratio Critical/All scenarios (duplicate free),0.41
Ratio Best Critical/Best Scenarios,0.47
Ratio Best Critical/Best Scenarios (duplicate free),0.49
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.983021  0.739691  0.      ]
Input value of critical (first of population of interest),[-2.386467  7.535407  2.082319]
