Attribute,Value
Number Critical Scenarios,654
Number Critical Scenarios (duplicate free),109
Number All Scenarios,1000
Number All Scenarios (duplicate free),195
Number Best Critical Scenarios,525
Number Best Critical Scenarios (duplicate free),46
Number Best Scenarios,691
Number Best Scenarios (duplicate free),52
Ratio Critical/All scenarios,0.65
Ratio Critical/All scenarios (duplicate free),0.56
Ratio Best Critical/Best Scenarios,0.76
Ratio Best Critical/Best Scenarios (duplicate free),0.88
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.903408  0.674587  0.      ]
Input value of critical (first of population of interest),[ 1.603567 -4.357594 13.782706]
