Attribute,Value
Number Critical Scenarios,239
Number Critical Scenarios (duplicate free),239
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,10
Number Best Scenarios (duplicate free),10
Ratio Critical/All scenarios,0.24
Ratio Critical/All scenarios (duplicate free),0.24
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.795259  0.      ]
Input value of critical (first of population of interest),[6.943227 2.770721 4.71168 ]
