run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.12847767578693353,0.2919792283217202,0.6058147032731924,0.2882580685929918
2,0.35173849868541124,0.5136380974451973,0.384813019283701,0.35728122670571655
3,0.23784108486020297,0.4637613146377538,0.5081390875877497,0.690082881333351
4,0.34053814535475,0.4607515676954678,0.40146917796401943,0.3348942116789185
5,0.22008550324488496,0.3078270679296596,0.7515539985618401,0.510197440248948
6,0.2589401588041142,0.4119581536641815,0.7031456661759616,0.8627606852777637
7,0.5334918151810245,0.48985405289243955,1.7272260704845201,0.2951661579151697
8,0.46422171562823983,2.182684826848894,0.45228713417132776,1.1942459923080067
9,0.3850234916705951,0.1686225183063387,0.2106054960419764,0.18161119884938873
10,0.572793341974335,1.416912168971928,0.1974956014397861,0.2951661579151697
