RS_n_evals,RS_cid,RS_cid_sigma,MOPSO_n_evals,MOPSO_cid,MOPSO_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGAII-DJ_A0.29_SEQ_n_evals,NSGAII-DJ_A0.29_SEQ_cid,NSGAII-DJ_A0.29_SEQ_cid_sigma
200.0,0.8858860649332463,0.322395650770133,200.0,0.9228932476183347,0.16617676679843965,200.0,0.8746947512491612,0.24155671993389846,200.0,0.8241132636944286,0.27086673898203534
400.0,0.8733779665464804,0.5472374042353731,400.0,0.7579999442524679,0.29568228894329734,400.0,0.7846702536511645,0.2878717144521827,400.0,0.8234946218696507,0.3111670040905213
600.0,0.5965772684962768,0.2564783587604435,600.0,0.746097049572062,0.41613137520405263,600.0,0.6752928535804822,0.43172443378944064,600.0,0.7918025645377782,0.38251497277599655
800.0,0.5181522251918914,0.175673892658455,800.0,0.6534997011754551,0.4021610207354055,800.0,0.6322125789760004,0.4169255648726633,800.0,0.6278652201652734,0.3677059993901936
1000.0,0.49873656466372457,0.17864384014578655,1000.0,0.7626472217743513,0.6299919321456781,1000.0,0.6302106520551229,0.41727718331826985,1000.0,0.605254185162097,0.3526229057756208
1200.0,0.4609187701730365,0.18162178622690328,1200.0,0.7034407757942234,0.6231138058558493,1200.0,0.6291839836103461,0.4182447867308039,1200.0,0.5988836622050587,0.3481638581898901
1400.0,0.4407331895922729,0.19670564879950134,1400.0,0.6990316387735105,0.6244128917250492,1400.0,0.6101511264417359,0.43380580163272725,1400.0,0.5296606660475802,0.3320938577940897
1600.0,0.39192183609820896,0.16529429338540344,1600.0,0.6769987510781197,0.6288045677634454,1600.0,0.6012921682221617,0.43668632862319745,1600.0,0.5132498228023255,0.33498277764110707
1800.0,0.3723292972011813,0.16997401001876497,1800.0,0.6719930498014193,0.6304450318041028,1800.0,0.6006695351219015,0.4366737384846873,1800.0,0.5075330378195863,0.33346470256232225
2000.0,0.3493151431190492,0.14317380931106158,2000.0,0.6707988996713581,0.6308144303532099,2000.0,0.5942549954984074,0.43888309369979206,2000.0,0.5009664020825425,0.3210308763933603
