Attribute,Value
Number Critical Scenarios,183
Number Critical Scenarios (duplicate free),41
Number All Scenarios,1000
Number All Scenarios (duplicate free),241
Number Best Critical Scenarios,142
Number Best Critical Scenarios (duplicate free),22
Number Best Scenarios,648
Number Best Scenarios (duplicate free),84
Ratio Critical/All scenarios,0.18
Ratio Critical/All scenarios (duplicate free),0.17
Ratio Best Critical/Best Scenarios,0.22
Ratio Best Critical/Best Scenarios (duplicate free),0.26
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.998936  0.835887 -3.162099]
Input value of critical (first of population of interest),[-5.753349 -4.57234   4.851814]
