Attribute,Value
Number Critical Scenarios,236
Number Critical Scenarios (duplicate free),94
Number All Scenarios,1000
Number All Scenarios (duplicate free),318
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.24
Ratio Critical/All scenarios (duplicate free),0.30
Ratio Best Critical/Best Scenarios,0.20
Ratio Best Critical/Best Scenarios (duplicate free),0.20
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.66212225  0.82145915]
Input value of critical (first of population of interest),[ 2.5942867  -7.79326678  1.57568316]
