Attribute,Value
Number Critical Scenarios,592
Number Critical Scenarios (duplicate free),167
Number All Scenarios,1000
Number All Scenarios (duplicate free),325
Number Best Critical Scenarios,14
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.59
Ratio Critical/All scenarios (duplicate free),0.51
Ratio Best Critical/Best Scenarios,0.70
Ratio Best Critical/Best Scenarios (duplicate free),0.70
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99999499  0.79205759]
Input value of critical (first of population of interest),[0.06859434 6.56679461 5.62991032]
