run,RS,NSGA-II-D,NSGA-II
1,0.25660160592406217,0.2665384194491458,0.7250744196506935
2,0.26114353467432216,0.3121323026796601,0.5309344037551906
3,0.23553584911341957,0.5733316017417099,0.593788403099639
4,0.21522173554433463,0.24125109709657858,0.5708424318316657
5,0.23763143099685244,0.26670489268590536,0.9036034990312402
6,0.2432906981518152,0.2822345572745049,0.5015668935282365
7,0.21580391437554383,0.4770342492909808,0.5355233858764215
8,0.24379382839326824,0.4099004797015928,0.4929244113702658
9,0.26440869458995164,0.2928723050248612,1
10,0.1843797466949984,0.2870975060945299,0.5692485505570448
