Attribute,Value
Number Critical Scenarios,654
Number Critical Scenarios (duplicate free),159
Number All Scenarios,1000
Number All Scenarios (duplicate free),292
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.65
Ratio Critical/All scenarios (duplicate free),0.54
Ratio Best Critical/Best Scenarios,0.60
Ratio Best Critical/Best Scenarios (duplicate free),0.60
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.6493085   0.72694679]
Input value of critical (first of population of interest),[-0.21272333  6.03256539  5.63716115]
