Attribute,Value
Number Critical Scenarios,612
Number Critical Scenarios (duplicate free),124
Number All Scenarios,1000
Number All Scenarios (duplicate free),196
Number Best Critical Scenarios,15
Number Best Critical Scenarios (duplicate free),15
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.61
Ratio Critical/All scenarios (duplicate free),0.63
Ratio Best Critical/Best Scenarios,0.75
Ratio Best Critical/Best Scenarios (duplicate free),0.75
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99999964  0.81174328 -4.02189837]
Input value of critical (first of population of interest),[ 2.5483259  -7.15123536  1.51143682]
