Attribute,Value
Number Critical Scenarios,51
Number Critical Scenarios (duplicate free),51
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,7
Number Best Critical Scenarios (duplicate free),7
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.05
Ratio Critical/All scenarios (duplicate free),0.05
Ratio Best Critical/Best Scenarios,0.54
Ratio Best Critical/Best Scenarios (duplicate free),0.54
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99913847  0.80196079  0.        ]
Input value of critical (first of population of interest),[-7.4413878   1.7557795   2.75717305]
