RS_n_evals,RS_cid,RS_cid_sigma,MOPSO_n_evals,MOPSO_cid,MOPSO_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGAII-DJ_A0.29_SEQ_n_evals,NSGAII-DJ_A0.29_SEQ_cid,NSGAII-DJ_A0.29_SEQ_cid_sigma
200.0,0.7609104708100729,0.2611438759794688,200.0,0.9075870667471874,0.1503350791542695,200.0,0.6991876478663634,0.23879630271597457,200.0,0.7336360163454723,0.2599589043783355
400.0,0.6413986709373015,0.24173852272495408,400.0,0.7549924676558672,0.22698323293972433,400.0,0.5967180760642986,0.20642686872894456,400.0,0.6652038309136853,0.2358125969857131
600.0,0.43618173182757963,0.22247474667704156,600.0,0.6905745153690364,0.2547302013005292,600.0,0.5380987124795198,0.21901010076428337,600.0,0.6453713234357428,0.2526812215816402
800.0,0.395491727104429,0.2464377026518624,800.0,0.5603014919206598,0.25755380261601213,800.0,0.5020560046901308,0.21822525725401765,800.0,0.46124151435106125,0.1586205810376648
1000.0,0.37202317326792744,0.24666978125691724,1000.0,0.5492004505144429,0.25105033545599864,1000.0,0.4916465647285072,0.22013690807321476,1000.0,0.4295552870310188,0.1506021467047217
1200.0,0.35389660461247036,0.2504350289092758,1200.0,0.4862730970645801,0.24127877854569782,1200.0,0.4884836632295312,0.22111120857055014,1200.0,0.4266323135368075,0.14917250319217534
1400.0,0.35101122575113103,0.25134017163086564,1400.0,0.4857241016419433,0.2412277805152705,1400.0,0.4861189825113401,0.22337048297891263,1400.0,0.38640247446001846,0.14753385341309372
1600.0,0.30825168379356294,0.17357962756831827,1600.0,0.4725617105650638,0.24486276555993336,1600.0,0.4561765594366033,0.2286090872062534,1600.0,0.35715345679402893,0.15898354555618405
1800.0,0.3019761597815231,0.17736466964958378,1800.0,0.4594983019222541,0.2534626148914286,1800.0,0.4549652102188905,0.22926369630486104,1800.0,0.34991265441058594,0.1648876220983054
2000.0,0.2790754922019835,0.16607088801728306,2000.0,0.4590204768411654,0.25382129465502534,2000.0,0.4541431314312551,0.23033284095629317,2000.0,0.3374777004951412,0.171060203678645
