Attribute,Value
Number Critical Scenarios,791
Number Critical Scenarios (duplicate free),266
Number All Scenarios,1000
Number All Scenarios (duplicate free),363
Number Best Critical Scenarios,286
Number Best Critical Scenarios (duplicate free),62
Number Best Scenarios,328
Number Best Scenarios (duplicate free),64
Ratio Critical/All scenarios,0.79
Ratio Critical/All scenarios (duplicate free),0.73
Ratio Best Critical/Best Scenarios,0.87
Ratio Best Critical/Best Scenarios (duplicate free),0.97
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999982  0.822572]
Input value of critical (first of population of interest),[ 4.987849 -7.374083  1.785427]
