Attribute,Value
Number Critical Scenarios,160
Number Critical Scenarios (duplicate free),160
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,14
Number Best Scenarios (duplicate free),14
Ratio Critical/All scenarios,0.16
Ratio Critical/All scenarios (duplicate free),0.16
Ratio Best Critical/Best Scenarios,0.71
Ratio Best Critical/Best Scenarios (duplicate free),0.71
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999841  0.807903  0.      ]
Input value of critical (first of population of interest),[-5.573064 -6.887698  2.349352]
