Attribute,Value
Number Critical Scenarios,611
Number Critical Scenarios (duplicate free),119
Number All Scenarios,1000
Number All Scenarios (duplicate free),172
Number Best Critical Scenarios,325
Number Best Critical Scenarios (duplicate free),43
Number Best Scenarios,575
Number Best Scenarios (duplicate free),52
Ratio Critical/All scenarios,0.61
Ratio Critical/All scenarios (duplicate free),0.69
Ratio Best Critical/Best Scenarios,0.57
Ratio Best Critical/Best Scenarios (duplicate free),0.83
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.762041  0.712773  0.      ]
Input value of critical (first of population of interest),[-5.263222  6.008168 16.196531]
