Attribute,Value
Number Critical Scenarios,870
Number Critical Scenarios (duplicate free),201
Number All Scenarios,1000
Number All Scenarios (duplicate free),259
Number Best Critical Scenarios,325
Number Best Critical Scenarios (duplicate free),45
Number Best Scenarios,344
Number Best Scenarios (duplicate free),50
Ratio Critical/All scenarios,0.87
Ratio Critical/All scenarios (duplicate free),0.78
Ratio Best Critical/Best Scenarios,0.94
Ratio Best Critical/Best Scenarios (duplicate free),0.90
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999969  0.793853]
Input value of critical (first of population of interest),[ 0.699937 -5.012434  1.559942]
