Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
101,0.336296,1.346467,2.129008,-0.027121,-1.176908,0
102,0.767516,1.476227,1.887843,-0.226578,-2.093594,0
103,0.319350,0.753217,1.972680,-0.928361,-1.561422,0
104,0.734522,1.407915,4.921434,-0.000000,-1.966065,0
105,0.270330,1.451187,3.077596,-0.011930,-1.002250,0
106,0.202437,0.605533,2.002163,-0.075305,-0.810440,0
107,0.339022,1.858704,4.115241,-0.279799,-1.166603,0
108,0.572510,1.578195,4.157552,-0.000000,-1.754968,0
109,0.493581,1.518731,4.897095,-0.000000,-1.545047,0
110,0.727852,1.596065,2.265144,-0.078920,-2.051539,0
111,0.635928,1.012369,3.704702,-0.000000,-1.899714,0
112,0.737332,1.968737,0.061344,-0.009351,-2.075682,0
113,0.750665,1.673913,4.037949,-0.000000,-2.051995,0
114,0.253690,1.105168,1.394866,-0.002016,-0.999911,0
115,0.122224,0.853250,1.600438,-0.000199,-0.635750,0
116,0.975613,1.238830,3.941904,-0.000000,-2.572495,0
117,0.308430,0.886199,4.321647,-0.984668,-1.078875,0
118,0.489069,0.669463,3.763879,-0.000000,-1.530542,0
119,0.259720,0.910424,3.822033,-0.319487,-0.221098,0
120,0.924086,1.105419,4.834438,-0.000000,-2.650273,0
121,0.177630,1.818977,2.441877,-0.000045,-0.857047,0
122,0.351229,0.648661,2.819671,-0.324853,-1.182303,0
123,0.219178,1.287707,1.196887,-0.000121,-0.953815,0
124,0.419418,0.628385,4.251476,-0.000000,-1.364555,0
125,0.490327,0.953125,1.927367,-0.417996,-0.008144,0
126,0.768644,0.983713,1.473235,-0.000241,-2.095030,0
127,0.822395,1.268597,4.865360,-0.000000,-2.159136,0
128,0.951854,1.029300,4.544722,-0.000000,-2.743683,0
129,0.136571,0.822609,4.043252,-0.003066,-0.622209,0
130,0.458856,1.898449,2.824839,-0.212893,-0.237066,0
131,0.113193,0.917659,3.047007,-0.000536,-0.604283,0
132,0.397917,1.891044,4.314166,-0.354522,-0.031487,0
133,0.564768,1.654013,0.067996,-0.002463,-1.752275,0
134,0.583927,1.632342,2.128905,-0.179119,-0.093311,0
135,0.186803,0.838837,4.972114,-0.034504,-0.751142,0
136,0.306160,1.368788,3.964603,-0.451348,-1.064931,0
137,0.613126,1.999587,0.280100,-0.002252,-1.861537,0
138,0.717100,0.605257,2.416522,-0.000000,-2.053130,0
139,0.540139,0.653472,3.947752,-0.000000,-1.660215,0
140,0.376088,1.117888,1.172009,-0.068648,-1.268316,0
141,0.343335,1.433019,0.722848,-0.000728,-1.229876,0
142,0.654186,1.843680,3.055011,-0.003087,-1.935988,0
143,0.692530,1.187715,0.790814,-0.378097,-0.520660,0
144,0.610720,0.800726,0.815641,-0.838287,-1.844089,0
145,0.730498,0.832890,0.353553,-0.628810,-0.007099,0
146,0.303417,1.552737,1.392065,-0.000581,-1.140189,0
147,0.542578,1.454048,2.198675,-0.198824,-0.494012,0
148,0.828645,0.749054,4.126742,-0.000000,-2.187399,0
149,0.553148,0.572964,0.036879,-0.186089,-1.704093,0
150,0.517827,1.421064,4.364325,-0.000000,-1.609626,0
151,0.442239,0.876843,3.598101,-0.000080,-1.421311,0
152,0.462541,1.861643,1.827373,-0.030480,-1.481770,0
153,0.704841,1.536875,3.631418,-0.000000,-2.035217,0
154,0.505806,0.597265,3.429111,-0.000000,-1.566851,0
155,0.113358,1.686196,3.400223,-0.000033,-0.656490,0
156,0.941356,1.337806,3.131093,-0.000000,-2.470167,0
157,0.449635,1.184163,1.192397,-0.344532,-1.453095,0
158,0.961315,1.005508,3.112937,-0.000000,-2.526150,0
159,0.763030,0.629245,4.800645,-0.000000,-2.074791,0
160,0.928371,0.823052,3.122249,-0.000000,-2.458815,0
161,0.225385,1.425005,1.274151,-0.000085,-0.982965,0
162,0.448568,1.716599,1.375019,-0.010043,-1.479607,0
163,0.405048,0.722722,1.721035,-0.987471,-2.220018,1
164,0.586323,0.833701,0.512134,-0.469815,-2.706926,0
165,0.875364,0.626817,4.913918,-0.000000,-2.488587,0
166,0.587257,1.542688,3.773482,-0.000000,-1.772092,0
167,0.403134,1.007294,4.159547,-0.001304,-1.326235,0
168,0.476267,1.071641,1.526563,-0.224828,-0.913425,0
169,0.192418,1.330694,4.386463,-0.010073,-0.800457,0
170,0.943712,1.395767,2.349511,-0.000000,-2.610062,0
171,0.830346,1.948102,1.338912,-0.100006,-0.782661,0
172,0.203654,0.523829,0.078547,-0.078556,-0.811515,0
173,0.341205,0.610504,2.031570,-0.985491,-1.157273,0
174,0.338307,0.964911,0.435143,-0.020631,-1.179878,0
175,0.752815,0.560945,4.533026,-0.000000,-2.052162,0
