Attribute,Value
Number Critical Scenarios,234
Number Critical Scenarios (duplicate free),39
Number All Scenarios,1000
Number All Scenarios (duplicate free),235
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.17
Ratio Best Critical/Best Scenarios,0.20
Ratio Best Critical/Best Scenarios (duplicate free),0.20
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.61259437  0.81744359 -8.03116548]
Input value of critical (first of population of interest),[-4.26303085 -7.42063005  4.31740528]
