Attribute,Value
Number Critical Scenarios,457
Number Critical Scenarios (duplicate free),90
Number All Scenarios,1000
Number All Scenarios (duplicate free),179
Number Best Critical Scenarios,284
Number Best Critical Scenarios (duplicate free),35
Number Best Scenarios,722
Number Best Scenarios (duplicate free),67
Ratio Critical/All scenarios,0.46
Ratio Critical/All scenarios (duplicate free),0.50
Ratio Best Critical/Best Scenarios,0.39
Ratio Best Critical/Best Scenarios (duplicate free),0.52
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.994298  0.754214  0.      ]
Input value of critical (first of population of interest),[1.801259 5.995789 2.368285]
