Attribute,Value
Number Critical Scenarios,162
Number Critical Scenarios (duplicate free),54
Number All Scenarios,1000
Number All Scenarios (duplicate free),337
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,357
Number Best Scenarios (duplicate free),77
Ratio Critical/All scenarios,0.16
Ratio Critical/All scenarios (duplicate free),0.16
Ratio Best Critical/Best Scenarios,0.03
Ratio Best Critical/Best Scenarios (duplicate free),0.06
Iteration first critical found,6
Fitness value of critical (first of population of interest),[-0.999994  0.759972]
Input value of critical (first of population of interest),[7.672275 2.884563 7.445127]
