Attribute,Value
Number Critical Scenarios,508
Number Critical Scenarios (duplicate free),115
Number All Scenarios,1000
Number All Scenarios (duplicate free),193
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.51
Ratio Critical/All scenarios (duplicate free),0.60
Ratio Best Critical/Best Scenarios,0.25
Ratio Best Critical/Best Scenarios (duplicate free),0.25
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.87297875  0.74600491  0.        ]
Input value of critical (first of population of interest),[ 4.93071481 -0.31940122  2.84050844]
