n_evals,hv_all
40,0.048611717072812366
80,0.28045813931819696
120,0.35482223311298106
160,0.3556700874131437
200,0.3569045658478626
240,0.35700985463444074
280,0.3570191503787282
320,0.3570613892730953
360,0.436251488871296
400,0.436251488871296
440,0.44561539169330167
480,0.4729095110331128
520,0.48483826445017814
560,0.486059243060786
600,0.4985295834079162
640,0.4985295834079162
680,0.5000345413531722
720,0.5004949931833537
760,0.5005518619434866
800,0.5005666910675342
840,0.5058568060716233
880,0.5134718345743028
920,0.5143611773743413
960,0.5143611773743413
1000,0.5155269349283714
1040,0.515903715633165
1080,0.5161874524658447
1120,0.516187633521387
1160,0.5162041868715337
1200,0.5162072776905922
1240,0.5171085576855187
1280,0.5187238945066814
1320,0.5187317099255765
1360,0.5187320192724374
1400,0.5187320192724374
1440,0.5348807970462924
1480,0.5348984184365131
1520,0.5379180728966142
1560,0.5384692344354878
1600,0.5385980341475227
1640,0.5385983121048374
1680,0.538598321681329
1720,0.538598321681329
1760,0.5387530986429859
1800,0.5387531184050207
1840,0.5388751230646724
1880,0.5388751230646724
1920,0.5388808082504333
1960,0.5394510016744465
2000,0.5394510016744465
