Attribute,Value
Number Critical Scenarios,306
Number Critical Scenarios (duplicate free),82
Number All Scenarios,1000
Number All Scenarios (duplicate free),215
Number Best Critical Scenarios,89
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,294
Number Best Scenarios (duplicate free),32
Ratio Critical/All scenarios,0.31
Ratio Critical/All scenarios (duplicate free),0.38
Ratio Best Critical/Best Scenarios,0.30
Ratio Best Critical/Best Scenarios (duplicate free),0.56
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999999  0.826271  0.      ]
Input value of critical (first of population of interest),[-3.22538  -6.165442  2.331495]
