Attribute,Value
Number Critical Scenarios,508
Number Critical Scenarios (duplicate free),94
Number All Scenarios,1000
Number All Scenarios (duplicate free),193
Number Best Critical Scenarios,296
Number Best Critical Scenarios (duplicate free),33
Number Best Scenarios,514
Number Best Scenarios (duplicate free),49
Ratio Critical/All scenarios,0.51
Ratio Critical/All scenarios (duplicate free),0.49
Ratio Best Critical/Best Scenarios,0.58
Ratio Best Critical/Best Scenarios (duplicate free),0.67
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-1.        0.761114 -6.084082]
Input value of critical (first of population of interest),[-6.365785  2.847322  2.642083]
