Attribute,Value
Number Critical Scenarios,184
Number Critical Scenarios (duplicate free),58
Number All Scenarios,1000
Number All Scenarios (duplicate free),224
Number Best Critical Scenarios,87
Number Best Critical Scenarios (duplicate free),22
Number Best Scenarios,581
Number Best Scenarios (duplicate free),69
Ratio Critical/All scenarios,0.18
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.15
Ratio Best Critical/Best Scenarios (duplicate free),0.32
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.999991  0.822698 -2.070203]
Input value of critical (first of population of interest),[-5.829885 -0.736561  2.606895]
