Attribute,Value
Number Critical Scenarios,57
Number Critical Scenarios (duplicate free),57
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,6
Number Best Critical Scenarios (duplicate free),6
Number Best Scenarios,9
Number Best Scenarios (duplicate free),9
Ratio Critical/All scenarios,0.06
Ratio Critical/All scenarios (duplicate free),0.06
Ratio Best Critical/Best Scenarios,0.67
Ratio Best Critical/Best Scenarios (duplicate free),0.67
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999998  0.782577  0.      ]
Input value of critical (first of population of interest),[ 1.406071 -5.817497  0.042181]
