Attribute,Value
Number Critical Scenarios,571
Number Critical Scenarios (duplicate free),145
Number All Scenarios,1000
Number All Scenarios (duplicate free),295
Number Best Critical Scenarios,245
Number Best Critical Scenarios (duplicate free),29
Number Best Scenarios,367
Number Best Scenarios (duplicate free),40
Ratio Critical/All scenarios,0.57
Ratio Critical/All scenarios (duplicate free),0.49
Ratio Best Critical/Best Scenarios,0.67
Ratio Best Critical/Best Scenarios (duplicate free),0.72
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.998531  0.82138 ]
Input value of critical (first of population of interest),[-2.477264 -7.396953  3.656201]
