Attribute,Value
Number Critical Scenarios,952
Number Critical Scenarios (duplicate free),277
Number All Scenarios,1000
Number All Scenarios (duplicate free),318
Number Best Critical Scenarios,196
Number Best Critical Scenarios (duplicate free),31
Number Best Scenarios,196
Number Best Scenarios (duplicate free),31
Ratio Critical/All scenarios,0.95
Ratio Critical/All scenarios (duplicate free),0.87
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.988796  0.795225]
Input value of critical (first of population of interest),[ 6.368905 -2.083738 16.619134]
