Attribute,Value
Number Critical Scenarios,898
Number Critical Scenarios (duplicate free),290
Number All Scenarios,1000
Number All Scenarios (duplicate free),362
Number Best Critical Scenarios,261
Number Best Critical Scenarios (duplicate free),41
Number Best Scenarios,261
Number Best Scenarios (duplicate free),41
Ratio Critical/All scenarios,0.90
Ratio Critical/All scenarios (duplicate free),0.80
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.921374  0.817095]
Input value of critical (first of population of interest),[ 1.141446  7.573887 15.986148]
