Attribute,Value
Number Critical Scenarios,544
Number Critical Scenarios (duplicate free),169
Number All Scenarios,1000
Number All Scenarios (duplicate free),305
Number Best Critical Scenarios,11
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.54
Ratio Critical/All scenarios (duplicate free),0.55
Ratio Best Critical/Best Scenarios,0.55
Ratio Best Critical/Best Scenarios (duplicate free),0.55
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.50005305  0.73547537]
Input value of critical (first of population of interest),[2.6476211  0.31403214 4.54903325]
