Attribute,Value
Number Critical Scenarios,979
Number Critical Scenarios (duplicate free),287
Number All Scenarios,1000
Number All Scenarios (duplicate free),307
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.98
Ratio Critical/All scenarios (duplicate free),0.93
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99371743  0.66199096]
Input value of critical (first of population of interest),[-7.9012016   2.00503544 13.50680823]
