Attribute,Value
Number Critical Scenarios,234
Number Critical Scenarios (duplicate free),234
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,11
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,12
Number Best Scenarios (duplicate free),12
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.23
Ratio Best Critical/Best Scenarios,0.92
Ratio Best Critical/Best Scenarios (duplicate free),0.92
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999976  0.79676598  0.        ]
Input value of critical (first of population of interest),[-7.91303359  0.60079392  2.70977363]
