Attribute,Value
Number Critical Scenarios,913
Number Critical Scenarios (duplicate free),225
Number All Scenarios,1000
Number All Scenarios (duplicate free),293
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.91
Ratio Critical/All scenarios (duplicate free),0.77
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99987686  0.85309339]
Input value of critical (first of population of interest),[-7.13555943 -0.28810883  2.61358897]
