Attribute,Value
Number Critical Scenarios,165
Number Critical Scenarios (duplicate free),165
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,19
Number Best Scenarios (duplicate free),19
Ratio Critical/All scenarios,0.17
Ratio Critical/All scenarios (duplicate free),0.17
Ratio Best Critical/Best Scenarios,0.63
Ratio Best Critical/Best Scenarios (duplicate free),0.63
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999985  0.804386  0.      ]
Input value of critical (first of population of interest),[-5.630672 -7.909527  2.123301]
