Attribute,Value
Number Critical Scenarios,841
Number Critical Scenarios (duplicate free),219
Number All Scenarios,1000
Number All Scenarios (duplicate free),288
Number Best Critical Scenarios,17
Number Best Critical Scenarios (duplicate free),17
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.84
Ratio Critical/All scenarios (duplicate free),0.76
Ratio Best Critical/Best Scenarios,0.85
Ratio Best Critical/Best Scenarios (duplicate free),0.85
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99999315  0.83882809]
Input value of critical (first of population of interest),[-6.9186665   2.06228767  6.26209387]
