Attribute,Value
Number Critical Scenarios,330
Number Critical Scenarios (duplicate free),87
Number All Scenarios,1000
Number All Scenarios (duplicate free),256
Number Best Critical Scenarios,164
Number Best Critical Scenarios (duplicate free),22
Number Best Scenarios,413
Number Best Scenarios (duplicate free),45
Ratio Critical/All scenarios,0.33
Ratio Critical/All scenarios (duplicate free),0.34
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.49
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.990198  0.788361  0.      ]
Input value of critical (first of population of interest),[-4.554206 -0.225583  0.881674]
