Attribute,Value
Number Critical Scenarios,521
Number Critical Scenarios (duplicate free),134
Number All Scenarios,1000
Number All Scenarios (duplicate free),202
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.52
Ratio Critical/All scenarios (duplicate free),0.66
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.40
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.84133881  0.78716124  0.        ]
Input value of critical (first of population of interest),[-0.7495369   6.2002967  17.87278542]
