n_evals,hv_all
40,0.0
80,0.0
120,0.04918368826472186
160,0.17574439003679176
200,0.1980457737340813
240,0.23431986821594905
280,0.24383187849867757
320,0.25757809715101504
360,0.30992036754044694
400,0.30992036754044694
440,0.30992036754044694
480,0.3099227098864347
520,0.3323367801412194
560,0.3389650194600572
600,0.3389650194600572
640,0.3488322817309893
680,0.3491005223566946
720,0.3499726510309868
760,0.3857703250910896
800,0.3903000863280111
840,0.3937755590846912
880,0.39432715013728004
920,0.3953501434707039
960,0.40230512702655746
1000,0.40352574165557287
1040,0.4073152131084189
1080,0.42367094397779825
1120,0.42370690771059394
1160,0.4247355440184166
1200,0.4326673476697049
1240,0.43267851435789734
1280,0.4327137116305338
1320,0.4393451367024435
1360,0.4517090749540094
1400,0.4527336582274603
1440,0.4527336582274603
1480,0.4527336582274603
1520,0.45677609297165045
1560,0.45682478160880374
1600,0.45682478160880374
1640,0.45682780409527657
1680,0.45682780409527657
1720,0.45687226106134887
1760,0.4569274711181791
1800,0.45692836380263
1840,0.4569763754736293
1880,0.4569831231319767
1920,0.45698851214829705
1960,0.45724592359606786
2000,0.45820795656080165
