Attribute,Value
Number Critical Scenarios,284
Number Critical Scenarios (duplicate free),71
Number All Scenarios,1000
Number All Scenarios (duplicate free),199
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.28
Ratio Critical/All scenarios (duplicate free),0.36
Ratio Best Critical/Best Scenarios,0.20
Ratio Best Critical/Best Scenarios (duplicate free),0.20
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.76231557  0.82038354  0.        ]
Input value of critical (first of population of interest),[-1.29657927  6.22142104 15.51738734]
