Attribute,Value
Number Critical Scenarios,316
Number Critical Scenarios (duplicate free),82
Number All Scenarios,1000
Number All Scenarios (duplicate free),226
Number Best Critical Scenarios,127
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,539
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.32
Ratio Critical/All scenarios (duplicate free),0.36
Ratio Best Critical/Best Scenarios,0.24
Ratio Best Critical/Best Scenarios (duplicate free),0.41
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.987792  0.739588  0.      ]
Input value of critical (first of population of interest),[ 3.310327 -6.489421  2.342949]
