Attribute,Value
Number Critical Scenarios,88
Number Critical Scenarios (duplicate free),88
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.09
Ratio Critical/All scenarios (duplicate free),0.09
Ratio Best Critical/Best Scenarios,0.77
Ratio Best Critical/Best Scenarios (duplicate free),0.77
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999974  0.804897  0.      ]
Input value of critical (first of population of interest),[-5.864887 -1.389141  3.251129]
