Attribute,Value
Number Critical Scenarios,52
Number Critical Scenarios (duplicate free),52
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,3
Number Best Critical Scenarios (duplicate free),3
Number Best Scenarios,7
Number Best Scenarios (duplicate free),7
Ratio Critical/All scenarios,0.05
Ratio Critical/All scenarios (duplicate free),0.05
Ratio Best Critical/Best Scenarios,0.43
Ratio Best Critical/Best Scenarios (duplicate free),0.43
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.9999935   0.84063043  0.        ]
Input value of critical (first of population of interest),[ 4.37867794 -6.90025085  2.2183031 ]
